世代,個体No,実値,適応度, 係数0, 係数1
0,45,-5.826,-58.259,3.10,3.20
1,52,-1.426,-14.261,1.23,3.17
2,83,-8.477,-84.765,2.74,-0.33
3,68,-4.185,-41.848,2.10,3.72
4,46,-1.957,-19.568,0.25,0.82
5,39,-5.159,-51.586,2.07,-0.00
6,15,-0.006,-0.057,1.06,1.95
7,69,-5.786,-57.857,-1.11,0.85
8,89,-0.003,-0.034,1.02,1.95
9,37,-1.850,-18.496,-0.19,1.34
10,17,-2.093,-20.933,0.07,0.89
11,9,-7.924,-79.241,-0.34,4.48
12,74,-7.626,-76.256,-1.76,1.94
13,72,-7.615,-76.148,3.64,1.20
14,82,-2.209,-22.090,2.47,2.22
15,10,-13.332,-133.316,0.29,5.58
16,64,-3.506,-35.062,-0.51,3.10
17,15,-5.659,-56.587,-1.32,2.53
18,39,-3.981,-39.811,2.57,0.77
19,61,-3.211,-32.107,2.78,1.81
20,13,-0.665,-6.648,1.41,2.70
21,43,-0.620,-6.198,0.86,1.23
22,74,-0.906,-9.064,1.10,1.05
23,68,-10.312,-103.119,3.96,0.76
24,38,-8.879,-88.786,-1.17,-0.05
25,66,-5.929,-59.287,2.94,0.53
26,11,-3.252,-32.523,-0.80,2.16
27,72,-3.228,-32.278,-0.08,0.56
28,76,-11.090,-110.905,-0.01,-1.17
29,95,-3.490,-34.902,-0.81,1.54
30,14,-0.737,-7.365,0.14,1.98
31,93,-6.817,-68.174,3.61,2.14
32,45,-7.789,-77.888,3.73,1.42
33,57,-7.789,-77.888,3.73,1.42
34,88,-13.957,-139.567,-1.84,4.43
35,21,-18.688,-186.875,5.32,1.75
36,22,-11.431,-114.313,0.32,-1.31
37,23,-1.132,-11.321,-0.06,1.95
38,9,-31.301,-313.012,-4.50,3.02
39,31,-15.953,-159.527,-1.59,-1.04
40,10,-5.855,-58.546,-1.41,2.15
41,10,-2.791,-27.912,2.66,2.19
42,24,-15.789,-157.891,0.98,5.97
43,98,-12.234,-122.339,4.49,1.86
44,35,-6.993,-69.934,3.04,3.68
45,40,-0.747,-7.474,0.61,2.77
46,52,-1.715,-17.146,-0.28,1.71
47,27,-0.575,-5.750,0.99,2.76
48,91,-5.759,-57.591,-1.37,1.60
49,51,-6.037,-60.365,0.58,4.42
50,76,-0.429,-4.290,1.59,2.29
51,51,-6.803,-68.030,-1.23,3.35
52,7,-2.428,-24.282,2.34,1.21
53,87,-3.794,-37.940,-0.95,2.08
54,89,-6.208,-62.076,1.59,4.42
55,40,-2.557,-25.570,2.31,1.09
56,24,-16.387,-163.867,4.08,-0.63
57,46,-7.417,-74.165,-0.85,4.00
58,22,-10.444,-104.444,-0.17,5.01
59,19,-13.689,-136.888,-0.93,-1.16
60,99,-10.290,-102.900,1.98,-1.06
61,27,-1.733,-17.334,0.68,3.28
62,73,-8.775,-87.748,3.28,3.89
63,57,-8.180,-81.798,-1.08,3.97
64,59,-7.885,-78.854,0.44,4.75
65,75,-1.934,-19.338,1.81,0.87
66,21,-10.116,-101.156,-2.06,1.14
67,55,-12.048,-120.476,4.43,2.50
68,78,-4.651,-46.505,-1.14,1.76
69,52,-23.944,-239.440,3.59,6.15
70,8,-15.238,-152.381,3.71,4.81
71,95,-13.352,-133.516,-2.56,2.82
72,60,-0.676,-6.764,1.48,2.67
73,73,-2.339,-23.392,-0.24,1.10
74,79,-5.072,-50.715,-0.23,0.11
75,15,-2.746,-27.464,1.23,0.36
76,24,-12.571,-125.714,2.60,-1.17
77,41,-5.513,-55.129,-1.10,3.05
78,82,-7.792,-77.925,1.02,4.79
79,82,-10.139,-101.386,1.92,-1.05
80,82,-1.557,-15.567,1.09,3.24
81,95,-5.074,-50.736,2.27,0.14
82,86,-2.973,-29.730,-0.72,2.04
83,7,-17.412,-174.118,4.71,0.09
84,62,-16.739,-167.394,5.04,1.34
85,89,-1.030,-10.303,0.99,3.01
86,97,-13.454,-134.544,-0.09,5.50
87,76,-7.390,-73.896,1.62,4.65
88,40,-1.752,-17.522,2.00,1.14
89,86,-3.570,-35.704,-0.80,1.42
90,28,-2.104,-21.038,-0.44,2.16
91,75,-7.651,-76.505,0.61,-0.74
92,74,-17.454,-174.541,1.17,-2.17
93,58,-25.314,-253.140,2.07,6.92
94,62,-0.208,-2.078,0.97,2.45
95,57,-1.300,-13.000,0.13,2.74
96,76,-26.384,-263.841,-0.83,-2.80
97,44,-21.253,-212.531,3.03,-2.14
98,83,-15.700,-157.003,4.65,0.45
99,73,-14.078,-140.777,-1.06,5.13
100,50,-9.187,-91.872,-1.37,0.11
101,58,-0.797,-7.973,1.89,2.02
102,4,-1.934,-19.343,1.50,3.30
103,84,-3.323,-33.228,2.79,2.37
104,76,-16.732,-167.323,-1.44,5.28
105,68,-2.998,-29.979,2.49,1.12
106,41,-0.255,-2.546,0.61,1.68
107,5,-0.518,-5.175,1.37,1.38
108,74,-3.231,-32.309,2.70,1.42
109,69,-10.492,-104.920,-0.91,4.61
110,29,-22.005,-220.049,3.01,6.24
111,53,-7.113,-71.133,3.43,3.10
112,26,-12.828,-128.276,-2.49,1.20
113,25,-2.147,-21.467,2.32,2.63
114,63,-16.442,-164.416,-2.68,0.30
115,69,-3.879,-38.788,2.95,1.72
116,25,-6.040,-60.401,2.85,0.38
117,35,-9.089,-90.891,-1.65,0.56
118,86,-4.113,-41.129,0.35,3.92
119,13,-7.357,-73.571,1.47,-0.67
120,62,-0.501,-5.005,1.59,1.61
121,56,-3.407,-34.067,2.83,1.73
122,1,-0.451,-4.511,0.98,1.33
123,81,-11.912,-119.116,4.41,1.45
124,14,-25.411,-254.112,2.18,6.90
125,93,-0.010,-0.103,0.96,2.09
126,25,-2.077,-20.770,-0.18,2.83
127,85,-1.240,-12.399,-0.10,1.80
128,28,-23.962,-239.620,-1.22,6.36
129,83,-7.168,-71.682,3.63,2.52
130,97,-0.490,-4.899,0.85,2.68
131,42,-12.808,-128.076,-2.50,2.73
132,46,-6.383,-63.833,1.31,-0.51
133,97,-4.195,-41.949,1.11,4.05
134,99,-0.065,-0.653,0.89,1.77
135,5,-0.785,-7.851,1.87,2.14
136,48,-14.712,-147.117,2.53,5.52
137,5,-31.199,-311.988,0.03,7.50
138,30,-3.898,-38.985,2.97,2.02
139,40,-1.953,-19.532,1.37,0.65
140,70,-1.790,-17.901,2.34,2.09
141,87,-20.372,-203.717,5.50,2.28
142,93,-2.406,-24.056,-0.07,0.88
143,54,-2.438,-24.377,0.29,0.61
144,31,-2.920,-29.197,0.15,3.48
145,88,-1.840,-18.399,-0.09,2.81
146,45,-2.852,-28.523,1.53,3.60
147,82,-15.154,-151.536,4.87,2.38
148,55,-10.071,-100.712,-2.15,1.58
149,57,-1.820,-18.197,0.20,3.08
150,55,-5.343,-53.427,0.11,-0.13
151,83,-1.280,-12.804,1.90,1.31
152,41,-3.529,-35.295,2.12,0.49
153,95,-8.907,-89.066,-1.61,0.55
154,52,-11.328,-113.277,3.93,0.35
155,53,-0.699,-6.985,0.98,1.16
156,8,-19.206,-192.060,2.62,-2.07
157,23,-2.888,-28.881,-0.64,1.55
158,57,-9.120,-91.202,4.02,1.86
159,44,-22.317,-223.168,-2.75,4.88
160,83,-6.807,-68.074,2.70,3.98
161,68,-6.871,-68.711,-0.50,4.15
162,17,-0.171,-1.715,0.62,1.83
163,1,-1.145,-11.450,1.52,2.94
164,89,-10.601,-106.010,0.22,5.16
165,9,-6.862,-68.618,3.54,2.66
166,11,-0.234,-2.344,1.47,2.10
167,84,-1.999,-19.991,1.60,0.72
168,18,-2.689,-26.890,2.40,2.86
169,71,-1.868,-18.676,-0.14,1.25
170,98,-3.079,-30.787,1.09,3.75
171,60,-4.704,-47.041,2.50,3.57
172,50,-3.241,-32.412,1.22,0.21
173,4,-16.779,-167.791,-1.73,-1.05
174,62,-2.470,-24.700,1.55,0.53
175,10,-4.085,-40.853,-0.10,3.70
176,3,-4.789,-47.894,-1.19,2.04
177,67,-3.672,-36.716,-0.06,3.59
178,84,-4.695,-46.953,0.14,0.01
179,50,-3.066,-30.662,1.98,3.45
180,48,-5.693,-56.929,-0.78,0.41
181,7,-6.227,-62.267,2.93,3.59
182,49,-2.776,-27.760,2.55,1.40
183,53,-2.829,-28.287,-0.48,1.20
184,64,-5.843,-58.434,-1.37,2.46
185,51,-1.998,-19.980,-0.05,1.05
186,85,-5.378,-53.782,1.61,-0.24
187,47,-12.122,-121.223,4.27,3.19
188,4,-4.609,-46.087,-0.81,0.85
